Braut Ar Karlar Konur
Byggingartaeknifraedi 2007 85 23
Heilbrigdisverkfraedi 2007 15 41
Hugbunadarverkfraedi 2007 15 1
Idnadartaeknifraedi 2007 10 4
Rafmagnstaeknifraedi 2007 47 0
Rekstrar-fjarmalaverkfraedi 2007 114 85
Tolvunarfraedi 2007 151 27
Tolvunarstaerdfraedi 2007 0 0
Vela-og-idnadarverkfraedi 2007 55 5
Veltaeknifraedi 2007 45 2
Byggingartaeknifraedi 2008 104 19
Heilbrigdisverkfraedi 2008 26 60
Hugbunadarverkfraedi 2008 21 1
Idnadartaeknifraedi 2008 1 0
Rafmagnstaeknifraedi 2008 44 1
Rekstrar-fjarmalaverkfraedi 2008 118 111
Tolvunarfraedi 2008 167 31
Tolvunarstaerdfraedi 2008 0 0
Vela-og-idnadarverkfraedi 2008 58 7
Veltaeknifraedi 2008 55 1
Byggingartaeknifraedi 2009 102 17
Heilbrigdisverkfraedi 2009 28 64
Hugbunadarverkfraedi 2009 25 2
Idnadartaeknifraedi 2009 0 0
Rafmagnstaeknifraedi 2009 37 2
Rekstrar-fjarmalaverkfraedi 2009 107 91
Tolvunarfraedi 2009 191 31
Tolvunarstaerdfraedi 2009 0 0
Vela-og-idnadarverkfraedi 2009 53 6
Veltaeknifraedi 2009 50 1
Byggingartaeknifraedi 2010 94 15
Heilbrigdisverkfraedi 2010 33 51
Hugbunadarverkfraedi 2010 37 3
Idnadartaeknifraedi 2010 1 1
Rafmagnstaeknifraedi 2010 32 2
Rekstrar-fjarmalaverkfraedi 2010 85 65
Tolvunarfraedi 2010 231 42
Tolvunarstaerdfraedi 2010 0 0
Vela-og-idnadarverkfraedi 2010 67 10
Veltaeknifraedi 2010 61 1
Byggingartaeknifraedi 2011 69 10
Heilbrigdisverkfraedi 2011 29 65
Hugbunadarverkfraedi 2011 46 4
Idnadartaeknifraedi 2011 7 0
Rafmagnstaeknifraedi 2011 33 5
Rekstrar-fjarmalaverkfraedi 2011 79 48
Tolvunarfraedi 2011 272 48
Tolvunarstaerdfraedi 2011 7 1
Vela-og-idnadarverkfraedi 2011 71 7
Veltaeknifraedi 2011 65 1
Byggingartaeknifraedi 2012 59 5
Heilbrigdisverkfraedi 2012 31 72
Hugbunadarverkfraedi 2012 61 8
Idnadartaeknifraedi 2012 10 3
Rafmagnstaeknifraedi 2012 37 5
Rekstrar-fjarmalaverkfraedi 2012 67 46
Tolvunarfraedi 2012 307 65
Tolvunarstaerdfraedi 2012 11 3
Vela-og-idnadarverkfraedi 2012 98 10
Veltaeknifraedi 2012 61 2
Byggingartaeknifraedi 2013 53 6
Heilbrigdisverkfraedi 2013 30 105
Hugbunadarverkfraedi 2013 93 14
Idnadartaeknifraedi 2013 9 2
Rafmagnstaeknifraedi 2013 44 5
Rekstrar-fjarmalaverkfraedi 2013 79 76
Tolvunarfraedi 2013 413 97
Tolvunarstaerdfraedi 2013 20 2
Vela-og-idnadarverkfraedi 2013 109 12
Veltaeknifraedi 2013 50 1
Byggingartaeknifraedi 2014 51 1
Heilbrigdisverkfraedi 2014 32 87
Hugbunadarverkfraedi 2014 77 26
Idnadartaeknifraedi 2014 8 3
Rafmagnstaeknifraedi 2014 48 5
Rekstrar-fjarmalaverkfraedi 2014 92 97
Tolvunarfraedi 2014 473 136
Tolvunarstaerdfraedi 2014 29 6
Vela-og-idnadarverkfraedi 2014 95 15
Veltaeknifraedi 2014 49 2
